DILIST_ID,drug_name,reason
1009,STREPTOKINASE,name_not_in_drugbank_index
1036,atractyloside,name_not_in_drugbank_index
1042,2-acetylaminofluorene,name_not_in_drugbank_index
1048,1-naphthylisothiocyanate,name_not_in_drugbank_index
1049,aflatoxin b1,name_not_in_drugbank_index
1050,indacrinone,name_not_in_drugbank_index
1057,carbon tetrachloride,name_not_in_drugbank_index
1060,allyl alcohol,name_not_in_drugbank_index
1061,bromobenzene,name_not_in_drugbank_index
1063,allyl formate,name_not_in_drugbank_index
1065,octylmethoxycinnamate,name_not_in_drugbank_index
1079,beclomethasone,name_not_in_drugbank_index
1087,alloxan,name_not_in_drugbank_index
1109,Acetorphan,name_not_in_drugbank_index
1114,Ampiroxicam,name_not_in_drugbank_index
1163,Ethylene glycol,name_not_in_drugbank_index
1171,Fosfluconazole,name_not_in_drugbank_index
1172,Fudosteine,name_not_in_drugbank_index
1192,Lodenosine,name_not_in_drugbank_index
1227,Picolamine,name_not_in_drugbank_index
1231,Piperacetazine,name_not_in_drugbank_index
1244,Roxatidine,name_not_in_drugbank_index
1252,Suplatast,name_not_in_drugbank_index
1262,Tiquizium,name_not_in_drugbank_index
