split,variant,n_resamples,profile_auroc,profile_sd,drug_auroc,drug_sd
drug,structure,5,0.4217983257360881,0.0792146022256611,0.47768320812318904,0.03502364045908601
drug,measured,5,0.538899860496433,0.104147070829534,0.5311201911632327,0.03397444919117323
drug,tuned_E,5,0.5300044352269145,0.07624557418470149,0.4810029737576366,0.045304992718523736
drug,chemberta_meta,5,0.4671073777091399,0.11439292882896229,0.43366668263846647,0.025408688609169266
